191
0.00000 -16
0.24015 6.18267 2.21937 
1.00034 2.63751 8.69417 
2.89250 4.23898 4.49475 
3.33797 1.31909 9.86945 
5.82494 9.79088 5.36696 
2.55938 5.45101 5.08637 
6.64534 8.23236 1.33779 
4.18059 3.11180 0.00106 
7.74958 7.18049 2.42231 
1.80719 3.47307 1.91786 
8.71256 2.03158 4.77854 
2.92776 6.78091 6.71135 
7.66247 3.11114 8.87047 
6.02266 2.84731 4.79119 
5.56982 1.90787 5.53512 
8.81432 2.31326 9.01505 
4.81788 4.17816 2.39339 
5.71993 4.82769 8.96612 
3.66088 8.46930 3.50740 
8.87811 4.42943 5.44511 
5.97613 0.76528 2.00606 
5.76766 7.00988 4.99104 
4.38782 6.15510 8.83664 
7.42449 3.39363 6.72126 
4.23187 5.00997 2.50328 
2.64540 1.23788 5.04973 
0.84117 7.56345 8.87018 
1.18792 5.37869 9.60341 
4.45082 4.94696 3.49777 
7.00266 3.63442 3.66034 
5.97532 7.25689 6.46834 
3.42550 2.29568 3.41159 
8.64263 6.67707 1.54668 
5.03505 4.10831 8.30049 
6.37952 0.51292 0.69479 
3.69479 8.31609 8.49980 
6.22115 8.80943 0.02807 
4.68156 2.96630 4.61042 
7.37859 1.99639 3.27063 
9.48373 3.03158 1.77473 
7.86885 1.80112 1.34874 
8.20482 8.47801 9.95974 
3.41554 5.02996 8.59575 
8.80431 3.95209 2.85500 
6.04323 8.51237 7.44953 
4.26571 3.86249 6.93508 
7.88830 8.70512 6.88285 
0.04657 2.68240 3.04887 
2.28643 7.94961 9.11887 
0.78568 4.95067 5.89084 
7.29578 0.15981 5.89606 
5.01592 2.51990 1.91671 
4.11655 6.89164 7.78565 
3.34758 2.72042 2.10526 
3.03929 1.38551 6.23998 
4.21831 7.13959 5.09429 
6.48061 9.69024 3.85597 
7.23858 8.73449 0.49579 
2.79827 0.59985 1.60784 
1.12228 2.12202 4.83734 
1.23908 5.26016 7.44838 
4.63350 5.26809 0.75243 
6.02057 7.69760 3.59246 
8.50283 7.02187 6.64613 
1.50628 6.00337 8.58729 
7.20182 0.92536 2.47631 
9.35923 0.61638 9.56385 
4.20196 2.34442 2.62279 
1.16387 1.24431 3.12203 
5.44986 5.85330 6.47711 
7.48017 9.26805 8.07382 
6.64203 2.67132 6.95682 
3.32121 9.50875 3.50155 
7.52326 3.37391 5.23195 
1.95492 6.39655 6.74406 
9.53434 3.57024 5.06973 
6.97583 2.71103 4.29709 
1.11740 0.13063 5.50742 
1.69704 2.08234 7.93802 
4.28187 5.44212 5.79094 
8.37561 8.88644 4.35372 
8.35384 2.90757 7.47399 
5.35210 2.73032 8.52369 
3.74696 5.20645 4.78900 
9.00786 5.18947 9.36233 
2.63850 5.18777 0.88874 
7.11918 2.12878 8.32479 
6.20840 4.56359 0.17756 
6.57735 5.48008 3.75462 
2.55952 7.86959 4.20904 
1.35806 4.88263 2.39716 
7.04865 6.69398 5.73717 
4.67508 4.11943 5.19889 
8.61844 0.15221 8.16329 
5.93285 3.42423 1.07244 
4.49922 8.35411 7.59533 
4.66295 0.27193 0.39984 
0.11588 7.55802 7.70543 
2.44604 0.58771 7.58434 
0.22852 0.66643 0.71118 
2.85470 8.87734 1.41629 
8.42734 8.24016 2.38369 
2.28789 2.64024 4.53290 
4.45614 4.38686 9.97143 
9.73681 6.51504 8.30483 
8.88715 6.36555 5.87994 
4.11382 0.89035 4.18214 
4.44534 2.80523 7.54889 
4.19918 5.55525 7.11015 
1.98246 9.17289 8.77209 
3.80559 0.54485 7.32404 
8.96433 3.43239 8.23175 
1.06701 3.19507 9.57932 
4.36112 7.27330 2.42080 
6.43686 4.30494 3.12219 
7.67957 0.53956 8.32421 
4.58365 7.41519 7.05822 
3.26387 5.86527 7.66137 
9.11062 2.11494 5.80523 
8.55006 0.79831 7.14044 
9.44902 9.68798 5.92054 
6.47953 1.50911 3.68184 
0.73880 6.95902 0.23725 
6.69741 3.44248 7.77924 
5.72498 9.76508 1.75026 
6.65318 9.92903 7.16021 
1.61876 6.47671 4.13516 
9.66568 1.05091 2.67247 
6.21713 1.24094 6.42640 
2.61659 6.96086 1.09475 
0.05039 6.96397 3.41027 
6.37606 2.46216 1.51266 
9.11753 8.24159 6.40579 
3.34341 2.73914 6.71888 
1.38365 5.02435 4.21005 
8.34081 3.99064 0.61001 
2.40520 4.24870 7.86129 
4.71238 1.02984 8.51220 
9.61823 3.52494 3.73923 
7.31524 7.25587 9.36749 
2.83514 0.15746 6.48457 
3.92690 9.43066 1.04838 
9.49467 6.92105 2.06023 
3.70419 6.32070 2.02018 
9.99489 4.16923 2.17735 
4.66018 3.62771 0.96704 
8.17166 1.07468 2.15822 
5.59130 2.94399 9.72475 
3.91906 7.71349 0.59695 
2.13737 2.84855 5.66240 
7.91248 5.06899 4.53393 
1.82771 8.29218 6.65668 
8.74263 7.33055 4.49399 
2.42028 7.67640 7.17898 
8.89315 7.14125 3.00132 
2.68004 3.47953 0.38335 
5.46154 2.08347 6.86234 
4.04725 2.08355 8.30020 
1.04892 9.25943 3.25358 
2.74242 1.77551 1.03218 
0.34996 1.79441 8.69645 
1.17456 0.80666 7.47985 
8.08444 5.18288 8.71703 
0.30027 6.63206 5.06305 
4.73200 0.63793 1.66750 
5.58789 5.60347 7.59690 
1.07758 0.82994 8.81067 
6.96640 4.22651 4.87954 
4.35188 2.11162 0.00197 
3.80351 5.65599 0.27979 
9.56596 5.11956 4.36501 
9.87672 7.96944 2.42750 
7.69143 9.92203 9.49975 
2.24248 9.40363 6.84934 
6.93351 1.48753 0.96899 
3.44878 3.58408 7.71364 
3.22794 2.05674 7.59110 
1.37323 9.80587 7.27079 
0.15434 3.93410 0.49003 
9.09190 7.54029 9.64105 
0.12191 8.97493 1.71779 
0.88405 8.31109 4.47880 
9.81958 7.62275 5.56520 
6.40667 6.92228 2.78602 
8.09919 3.08407 3.94100 
1.50310 2.65743 3.34651 
4.78301 8.01785 6.08925 
5.91693 5.82760 4.42772 
6.67248 4.39793 6.02692 
1.57533 6.50867 1.22758 
1.91479 1.89187 6.62585 
