dist,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10

n_points
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,7,8,8,8,8,8,9,9,10,10,12,13,13,14,15,15,15,17,17,17,17,17,17,18,19,20,22,23,23,24,26,27,30,30,30,32,33,34
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,5,6,6,8,9,10,11,13,16,16,16,16,19,20,23,24,26,26,30,31,34,38,42,46,46,48,50,53,57,60,60,64,68,70,78,81,82,85,89,98,103,112,114,116,117,121,122,129
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,6,7,9,11,14,18,19,21,22,26,30,33,39,40,42,46,49,53,59,71,76,79,84,93,97,101,105,110,116,123,128,135,142,146,151,160,165,169
400,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,4,7,7,9,10,10,11,11,11,11,11,13,14,14,14,14,16,16,18,20,20,24,24,25,27,30,31,33,35,36,41,44,45,48,52,55,58,61,62,63,65,68,70,70,75,80,80,80,82,87,96,97,102,103,104,108,108,110,112,115,117,119,121,126,126,127,128,131,131,134,140,143,145,150,157,159,163,170,178,184,188,194,202
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,5,6,6,7,9,9,11,11,13,14,18,18,21,26,29,32,36,37,41,42,42,45,47,48,52,55,59,61,65,67,70,74,84,85,93,101,105,110,114,118,127,135,141,146,153,162,172,182,191,197,204,215
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,4,4,5,5,7,8,8,9,10,10,15,17,20,23,27,29,32,34,37,39,45,53,58,62,66,72,79,83,87,94,100,104,112,119,124,131,141,148,154,159,164,175,183,189,196,200,207,217,222,229,236,245,253,260,264,276
700,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,5,6,6,7,7,7,7,7,7,7,8,9,10,10,11,11,11,11,13,13,16,18,18,22,24,27,28,29,30,32,36,40,40,43,45,46,47,51,53,56,63,68,73,76,81,86,92,99,105,108,109,114,116,118,125,133,141,151,157,162,170,176,179,185,194,205,212,219,232,240,246,257,262,270,278,291,301,311,324,329,338,349,359,370,385
800,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,5,6,6,7,7,7,7,7,8,8,8,9,9,9,9,9,9,10,10,11,13,14,17,20,21,25,27,29,30,31,34,39,41,44,48,53,57,59,63,65,71,72,73,79,82,86,91,96,101,106,110,117,122,130,132,137,143,149,153,158,164,175,182,185,192,199,205,215,225,233,239,249,257,266,280,287,296,307,316,327,342,351,360,377,389,400
900,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,4,4,4,6,7,8,10,12,13,15,15,15,17,17,22,24,24,25,27,32,35,38,38,41,43,44,45,52,54,58,65,69,72,79,83,89,95,98,103,113,120,127,130,137,150,160,168,174,186,198,204,207,216,221,232,240,249,255,267,274,289,302,313,326,341,353,361,376,390,399,416,433,444,460,481,489,505,519,535
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5,6,7,9,10,10,13,15,17,19,21,22,23,27,30,35,40,41,43,46,52,58,68,78,88,94,100,106,112,122,127,136,147,155,167,174,180,185,195,201,213,218,227,235,247,253,258,276,282,292,308,315,335,346,355,366,376,394,402,410,423,434,448,464,472,492,502,512,528
