Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production
0.01,153,0,0.9686,0,0.0314,0.000306,
0.02,231,0,0.9746,0.0004,0.025,0.000462,
0.03,105,0,0.992,0.0001,0.0079,0.00021,
0.04,257,0,0.9852,0.0003,0.0145,0.000514,
0.05,435,0,0.9816,0.0005,0.0179,0.00087,
0.06,511,0,0.9824,0.0009,0.0167,0.001022,
0.07,1129,0,0.9616,0.0026,0.0358,0.002258,
0.08,1960,0.0004,0.932,0.0051,0.0625,0.00392,
0.09,3471,0.0002,0.8972,0.0092,0.0934,0.006942,
0.1,4822,0.0006,0.8584,0.0136,0.1274,0.009644,
0.11,6811,0.001,0.8114,0.0207,0.1669,0.013622,
0.12,9017,0.0016,0.7604,0.0301,0.2079,0.018034,
0.13,10975,0.0023,0.7108,0.0385,0.2484,0.02195,
0.14,12665,0.0042,0.6748,0.0479,0.2731,0.02533,
0.15,14619,0.0065,0.6178,0.0572,0.3185,0.029238,
0.16,16594,0.008,0.5942,0.0652,0.3326,0.033188,
0.17,18075,0.0142,0.5424,0.081,0.3624,0.03615,
0.18,18837,0.0217,0.5,0.0944,0.3839,0.037674,
0.19,20045,0.0314,0.4582,0.1069,0.4035,0.04009,
0.2,19375,0.0604,0.402,0.1311,0.4065,0.03875,
0.21,0,0.615,0.0244,0.3606,0,0,
0.22,0,0.6097,0.027,0.3633,0,0,
0.23,0,0.6046,0.0342,0.3612,0,0,
0.24,0,0.6115,0.0292,0.3593,0,0,
0.25,0,0.6084,0.0336,0.358,0,0,
0.26,0,0.6066,0.0334,0.36,0,0,
0.27,0,0.6011,0.0386,0.3603,0,0,
0.28,0,0.6069,0.0342,0.3589,0,0,
0.29,0,0.6106,0.035,0.3544,0,0,
0.3,0,0.6094,0.0374,0.3532,0,0,
0.31,0,0.6165,0.036,0.3475,0,0,
0.32,0,0.6198,0.0352,0.345,0,0,
0.33,0,0.6141,0.0402,0.3457,0,0,
0.34,0,0.6185,0.0348,0.3467,0,0,
0.35,0,0.6222,0.0356,0.3422,0,0,
0.36,0,0.6271,0.034,0.3389,0,0,
0.37,0,0.6207,0.039,0.3403,0,0,
0.38,0,0.6294,0.035,0.3356,0,0,
0.39,0,0.6363,0.0324,0.3313,0,0,
0.4,0,0.6306,0.0396,0.3298,0,0,
0.41,0,0.6301,0.0338,0.3361,0,0,
0.42,0,0.6394,0.0362,0.3244,0,0,
0.43,0,0.6392,0.0362,0.3246,0,0,
0.44,0,0.643,0.0318,0.3252,0,0,
0.45,0,0.6454,0.0344,0.3202,0,0,
0.46,0,0.6482,0.0328,0.319,0,0,
0.47,0,0.6513,0.0364,0.3123,0,0,
0.48,0,0.6639,0.0324,0.3037,0,0,
0.49,0,0.6642,0.0342,0.3016,0,0,
0.5,0,0.6735,0.033,0.2935,0,0,
0.51,0,0.6805,0.0348,0.2847,0,0,
0.52,0,0.6892,0.033,0.2778,0,0,
0.53,0,0.6827,0.0318,0.2855,0,0,
0.54,0,0.6904,0.0324,0.2772,0,0,
0.55,0,0.6948,0.0322,0.273,0,0,
0.56,0,0.7093,0.0318,0.2589,0,0,
0.57,0,0.7141,0.0296,0.2563,0,0,
0.58,0,0.7239,0.0286,0.2475,0,0,
0.59,0,0.7254,0.0294,0.2452,0,0,
0.6,0,0.7312,0.0304,0.2384,0,0,
0.61,0,0.7466,0.0284,0.225,0,0,
0.62,0,0.7516,0.027,0.2214,0,0,
0.63,0,0.7548,0.0276,0.2176,0,0,
0.64,0,0.7591,0.0268,0.2141,0,0,
0.65,0,0.7792,0.0232,0.1976,0,0,
0.66,0,0.786,0.0254,0.1886,0,0,
0.67,0,0.7899,0.023,0.1871,0,0,
0.68,0,0.7839,0.0252,0.1909,0,0,
0.69,0,0.8039,0.0242,0.1719,0,0,
0.7,0,0.8061,0.0232,0.1707,0,0,
0.71,0,0.8131,0.0208,0.1661,0,0,
0.72,0,0.8255,0.0202,0.1543,0,0,
0.73,0,0.8253,0.0224,0.1523,0,0,
0.74,0,0.8322,0.0198,0.148,0,0,
0.75,0,0.8376,0.0182,0.1442,0,0,
0.76,0,0.8478,0.0196,0.1326,0,0,
0.77,0,0.8581,0.016,0.1259,0,0,
0.78,0,0.8635,0.0146,0.1219,0,0,
0.79,0,0.8775,0.0132,0.1093,0,0,
0.8,0,0.8732,0.0156,0.1112,0,0,
0.81,0,0.8833,0.0144,0.1023,0,0,
0.82,0,0.8895,0.0142,0.0963,0,0,
0.83,0,0.8938,0.014,0.0922,0,0,
0.84,0,0.9073,0.0104,0.0823,0,0,
0.849999,0,0.9121,0.0098,0.0781,0,0,
0.859999,0,0.9166,0.0096,0.0738,0,0,
0.869999,0,0.9302,0.0062,0.0636,0,0,
0.879999,0,0.9331,0.0064,0.0605,0,0,
0.889999,0,0.9431,0.005,0.0519,0,0,
0.899999,0,0.9444,0.0056,0.05,0,0,
0.909999,0,0.9543,0.002,0.0437,0,0,
0.919999,0,0.9569,0.003,0.0401,0,0,
0.929999,0,0.9613,0.0026,0.0361,0,0,
0.939999,0,0.9665,0.0018,0.0317,0,0,
0.949999,0,0.9718,0.0008,0.0274,0,0,
0.959999,0,0.9804,0.0012,0.0184,0,0,
0.969999,0,0.9853,0.0002,0.0145,0,0,
0.979999,0,0.9893,0,0.0107,0,0,
0.989999,0,0.9938,0,0.0062,0,0,
0.999999,0,1,0,0,0,0,
