Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production,
0.001,34,0,0.9268,0,0.0732,6.8e-005,
0.002,73,0,0.921,0.0001,0.0789,0.000146,
0.003,120,0,0.9282,0,0.0718,0.00024,
0.004,77,0,0.9658,0,0.0342,0.000154,
0.005,156,0,0.9456,0,0.0544,0.000312,
0.006,78,0,0.9748,0,0.0252,0.000156,
0.007,123,0,0.9678,0,0.0322,0.000246,
0.008,73,0,0.9822,0.0002,0.0176,0.000146,
0.009,99,0,0.9786,0.0001,0.0213,0.000198,
0.01,56,0,0.9886,0,0.0114,0.000112,
0.011,126,0,0.9752,0,0.0248,0.000252,
0.012,205,0,0.971,0,0.029,0.00041,
0.013,146,0,0.9786,0,0.0214,0.000292,
0.014,94,0,0.986,0,0.014,0.000188,
0.015,183,0,0.9786,0.0004,0.021,0.000366,
0.016,262,0,0.9684,0.0008,0.0308,0.000524,
0.017,158,0,0.979,0.0001,0.0209,0.000316,
0.018,183,0,0.978,0,0.022,0.000366,
0.019,186,0,0.9768,0,0.0232,0.000372,
0.02,94,0,0.9892,0.0001,0.0107,0.000188,
0.021,336,0,0.9682,0.0003,0.0315,0.000672,
0.022,271,0,0.972,0.0002,0.0278,0.000542,
0.023,199,0,0.9814,0.0001,0.0185,0.000398,
0.024,133,0,0.9878,0.0003,0.0119,0.000266,
0.025,212,0,0.981,0.0001,0.0189,0.000424,
0.026,107,0,0.9916,0,0.0084,0.000214,
0.027,312,0,0.9754,0.0002,0.0244,0.000624,
0.028,101,0,0.9928,0,0.0072,0.000202,
0.029,159,0,0.9892,0.0001,0.0107,0.000318,
0.03,213,0,0.9854,0.0001,0.0145,0.000426,
0.031,122,0,0.9942,0,0.0058,0.000244,
0.032,493,0,0.9664,0.001,0.0326,0.000986,
0.033,252,0,0.9838,0.0005,0.0157,0.000504,
0.034,120,0,0.9928,0,0.0072,0.00024,
0.035,419,0,0.976,0.0008,0.0232,0.000838,
0.036,106,0,0.9946,0.0002,0.0052,0.000212,
0.037,461,0,0.9738,0.0009,0.0253,0.000922,
0.038,256,0,0.9874,0.0007,0.0119,0.000512,
0.039,801,0,0.9628,0.0007,0.0365,0.001602,
0.04,105,0,0.994,0.0001,0.0059,0.00021,
0.041,109,0,0.9934,0.0007,0.0059,0.000218,
0.042,109,0,0.993,0.0007,0.0063,0.000218,
0.043,365,0,0.9822,0.0002,0.0176,0.00073,
0.044,275,0.0001,0.9838,0.0007,0.0154,0.00055,
0.045,321,0,0.9814,0.001,0.0176,0.000642,
0.046,692,0,0.9698,0.0018,0.0284,0.001384,
0.047,320,0,0.9842,0.0012,0.0146,0.00064,
0.048,353,0,0.9844,0.0006,0.015,0.000706,
0.049,256,0,0.987,0.0007,0.0123,0.000512,
0.05,168,0,0.993,0.0004,0.0066,0.000336,
0.051,437,0,0.9826,0.0011,0.0163,0.000874,
0.052,322,0,0.9846,0.0012,0.0142,0.000644,
0.053,293,0,0.9872,0.0006,0.0122,0.000586,
0.054,1087,0.0001,0.9592,0.0025,0.0382,0.002174,
0.055,681,0,0.9724,0.0013,0.0263,0.001362,
0.056,350,0,0.9856,0.0003,0.0141,0.0007,
0.057,1534,0,0.942,0.0033,0.0547,0.003068,
0.058,476,0,0.9788,0.0013,0.0199,0.000952,
0.059,840,0,0.9682,0.002,0.0298,0.00168,
0.06,610,0,0.9772,0.0007,0.0221,0.00122,
